code,name,description,language,category,category-name,category-description
110,Standard grant,Grants are transfers in cash or in kind for which no legal debt is incurred by the recipient.,en,100,GRANTS,Transfers in cash or in kind for which no legal debt is incurred by the recipient.
111,Subsidies to national private investors,,en,100,GRANTS,Transfers in cash or in kind for which no legal debt is incurred by the recipient.
210,Interest subsidy,"A payment to soften the terms of private export credits, or loans or credits by the banking sector.",en,100,GRANTS,Transfers in cash or in kind for which no legal debt is incurred by the recipient.
211,Interest subsidy to national private exporters,,en,200,INTEREST SUBSIDY,"Subsidies to soften the terms of private export credits, or loans or credits by the banking sector."
310,Capital subscription on deposit basis,"Payments to multilateral agencies in the form of notes and similar instruments, unconditionally encashable at sight by the recipient institutions.",en,100,GRANTS,Transfers in cash or in kind for which no legal debt is incurred by the recipient.
311,Capital subscription on encashment basis,,en,100,GRANTS,Transfers in cash or in kind for which no legal debt is incurred by the recipient.
410,Aid loan excluding debt reorganisation,,en,400,LOAN,Transfers in cash or in kind for which the recipient incurs legal debt.
411,Investment-related loan to developing countries,,en,400,LOAN,Transfers in cash or in kind for which the recipient incurs legal debt.
412,Loan in a joint venture with the recipient,,en,400,LOAN,Transfers in cash or in kind for which the recipient incurs legal debt.
413,Loan to national private investor,,en,400,LOAN,Transfers in cash or in kind for which the recipient incurs legal debt.
414,Loan to national private exporter,,en,400,LOAN,Transfers in cash or in kind for which the recipient incurs legal debt.
421,Standard loan,"Transfers in cash or in kind for which the recipient incurs legal debt (and the resulting claim is not intended to be traded). Since payment obligations on standard loan are senior obligations, i.e. creditors are entitled to receive payments against their claims before anyone else, they are also referred to as senior loans.",en,420,DEBT INSTRUMENTS,
422,Reimbursable grant,"A contribution provided to a recipient institution for investment purposes, with the expectation of long-term reflows at conditions specified in the financing agreement. The provider assumes the risk of total or partial failure of the investment; it can also decide if and when to reclaim its investment.",en,420,DEBT INSTRUMENTS,
423,Bonds,"Fixed-interest debt instruments, issued by governments, public utilities, banks or companies, tradable in financial markets.",en,420,DEBT INSTRUMENTS,
424,Asset-backed securities,Securities whose value and income payments are derived from and backed by a specific pool of underlying assets.,en,420,DEBT INSTRUMENTS,
425,Other debt securities,,en,420,DEBT INSTRUMENTS,
431,Subordinated loan,"A loan that, in the event of default, will only be repaid after all senior obligations have been satisfied. In compensation for the increased risk, mezzanine debt holders require a higher return for their investment than secured or more senior lenders.",en,430,MEZZANINE FINANCE INSTRUMENTS,
432,Preferred equity,"Equity that, in the event of default, will be repaid after all senior obligations and subordinated loans have been satisfied; and will be paid before common equity holders. It is a more expensive source of finance than senior debt, a less expensive source than equity.",en,430,MEZZANINE FINANCE INSTRUMENTS,
433,Other hybrid instruments,Including convertible debt or equity.,en,430,MEZZANINE FINANCE INSTRUMENTS,
451,Non-banks guaranteed export credits,,en,450,EXPORT CREDIT,Official or private loans which are primarily export-facilitating in purpose. They are usually tied to a specific export from the extending country and not represented by a negotiable instrument.
452,Non-banks non-guaranteed portions of guaranteed export credits,,en,450,EXPORT CREDIT,Official or private loans which are primarily export-facilitating in purpose. They are usually tied to a specific export from the extending country and not represented by a negotiable instrument.
453,Bank export credits,,en,450,EXPORT CREDIT,Official or private loans which are primarily export-facilitating in purpose. They are usually tied to a specific export from the extending country and not represented by a negotiable instrument.
510,Common equity,A share in the ownership of a corporation that gives the owner claims on the residual value of the corporation after creditors’ claims have been met.,en,500,EQUITY AND SHARES IN COLLECTIVE INVESTMENT VEHICLES,Investment in a country on the DAC List of ODA Recipients that is not made to acquire a lasting interest in an enterprise.
511,Acquisition of equity not part of joint venture in developing countries,,en,500,EQUITY AND SHARES IN COLLECTIVE INVESTMENT VEHICLES,Investment in a country on the DAC List of ODA Recipients that is not made to acquire a lasting interest in an enterprise.
512,Other acquisition of equity,,en,500,EQUITY AND SHARES IN COLLECTIVE INVESTMENT VEHICLES,Investment in a country on the DAC List of ODA Recipients that is not made to acquire a lasting interest in an enterprise.
