code,name,description,category,url
110,Dons ordinaires,Transferts en espèces ou en nature qui n'entraînent pas d'obligation juridique de remboursement pour le bénéficiaire.,100,
111,,,100,
210,Bonification d'intérêt,Subventions visant à assouplir les conditions des crédits à l’exportation ou des prêts/crédits du secteur bancaire.,100,
211,,,200,
310,Souscriptions au capital sur la base des dépôt,Versements aux agences multilatérales sous forme de billets à ordre et effets similaires encaissables à vue sans condition par l'institution bénéficiaire.,100,
311,Souscriptions au capital sur la base des encaissements,,100,
410,,,400,
411,,,400,
412,,,400,
413,,,400,
414,,,400,
421,Prêt ordinaire,"Transferts en espèce ou en nature qui entraînent une obligation juridique de remboursement pour le bénéficiaire (dont la créance n'est pas échangeable.) Lorsque les obligations de remboursement sur les prêts ordinaires sont senior, càd que le créditeur est éligible à percevoir le remboursement de sa créance avant quiconque, on parle de prêt senior.",420,
422,Don remboursable,"Contribution fournie à une institution bénéficiaire à des fins d'investissement, dans une perspective de remboursement à long-terme à des conditions spécifiées dans l'accord de financement. Le fournisseur assume le risque partiel ou total de faillite de l'investissement ; il peut aussi décider si et quand il récupère son investissement.",420,
423,Obligations,"Instruments de dette à intérêts fixes émis par des gouvernements, entités publiques, banques ou sociétés, échangeables sur les marchés financiers.",420,
424,Titres adossés à des actifs,Actifs dont la valeur et les revenus sont dérivés de et adossés à un panier d'actifs sous-jacents.,420,
425,Autres actifs de dette,,420,
431,Prêt subordonné,"Prêt qui, en cas de défaut, ne sera remboursé qu'après que les obligations senior soient satisfaites. En compensation du risque accru, les détenteurs de dette mezzanine exigent un retour sur investissement plus élevé que les prêteurs garantis ou senior.",430,
432,Action privilégiée,"Action qui, en cas de défaut, ne sera remboursé qu'après que les obligations senior soient satisfaites ; mais avant les détenteurs d'actions ordinaires. Il s'agit d'une source de financement plus onéreuse que la dette senior mais moins coûteuse que les actions.",430,
433,Autres instruments hybrides,incluant les dettes convertibles et les actions.,430,
451,,,450,
452,,,450,
453,,,450,
510,Action ordinaire,Part de propriété dans une société donnant à son détenteur une créance sur la valeurs résiduelle de la société une fois que les créances de ses créditeurs ont été satisfaites.,500,
511,,,500,
512,,,500,
520,Parts dans des organismes collectifs d'investissement,Placement collectif par lequel un groupe d'investisseurs abonde un fond d'actifs financiers ou non financiers ou les deux. Ces véhicules émettent des parts (en cas de structure d'entreprise) ou des unités de compte (en cas de structure fiduciaire.),500,
530,Bénéfices réinvestis,Cet item n'est applicable qu'aux investissement direct étrangers (IDE). Les bénéfices réinvestis sur des IDE consistent en des bénéfices retenus d'un investissement direct à l'étranger qui sont traités comme s'ils étaient redistribués et versés aux investisseurs en proportion de leur part dans l'actionnariat puis réinvestis par eux dans l'entreprise.,500,
610,Annulation/conversion de la dette : créance APD (P),,600,
611,Annulation/conversion de la dette : créance APD (I),,600,
612,Annulation/conversion de la dette : créance AASP (P),,600,
613,Annulation/conversion de la dette : créance AASP (I),,600,
614,Annulation/conversion de la dette : créance du secteur privé (P),,600,
615,Annulation/conversion de la dette : créance du secteur privé (I),,600,
616,Annulation/conversion de la dette : créance AASP (DSR),,600,
617,Annulation/conversion de la dette : créance du secteur privé (DSR),,600,
618,Annulation/conversion de la dette : autre,,600,
620,Rééchelonnement de la dette : créance APD (P),,600,
621,Rééchelonnement de la dette : créance APD (I),,600,
622,Rééchelonnement de la dette : créance AASP (P),,600,
623,Rééchelonnement de la dette : créance AASP (I),,600,
624,Rééchelonnement de la dette : créance du secteur privé (P),,600,
625,Rééchelonnement de la dette : créance du secteur privé (I),,600,
626,Rééchelonnement de la dette : créance AASP (RSD),,600,
627,Rééchelonnement de la dette : créance du secteur privé (RSD),,600,
630,Rééchelonnement de la dette : créance AASP (RSD – principal du prêt d’origine),,600,
631,Rééchelonnement de la dette : créance AASP (RSD – intérêts du prêt d’origine),,600,
632,Rééchelonnement de la dette : créance du secteur privé (RSD – principal du prêt d’origine),,600,
633,Annulation/conversion de la dette : créance de crédit à l'exportation (P),,600,
634,Annulation/conversion de la dette : créance de crédit à l'exportation (I),,600,
635,Annulation de la dette : créance de crédit à l'exportation (DSR),,600,
636,Rééchelonnement de la dette : créance de crédit à l'exportation (P),,600,
637,Rééchelonnement de la dette : créance de crédit à l'exportation (I),,600,
638,Rééchelonnement de la dette : créance de crédit à l'exportation (DSR),,600,
639,Rééchelonnement de la dette : créance de crédit à l'exportation (DSR - principal du prêt originel),,600,
710,,,700,
711,,,700,
810,,,800,
811,,,800,
910,,,900,
911,,,900,
912,,,900,
1100,Garanties/assurances,"Une garantie se rapporte à un contrat de partage des risques selon lequel le garant accepte de payer tout ou partie d'un montant dû d'un prêt, d'une action ou autre instrument au prêteur/investisseur dans le cas d'un défaut de paiement de l'emprunteur ou d'une perte de valeur de l'investissement. D'autres éventuels passifs non provisionné se réfèrent à d'autres instruments et ne constituent pas un apport en tant que tel mais peuvent aussi être collectés dans le futur.",1000,
