code,name,description,category,url,public-database
AF-CBR,,,AF,http://acbr.gov.af/,
AF-MOE,,,AF,http://moec.gov.af/en,
AR-CENOC,,,AF,http://www.cenoc.gob.ar/,
AU-ABN,,,AU,http://abr.business.gov.au/,
AU-ACNC,,,AU,http://www.acnc.gov.au/ACNC/,
BD-NAB,,,BD,http://114.129.9.31/welcome/ngo_profile,
BE-BCE_KBO,,,BE,economie.fgov.be/fr/entreprises/BCE,
BE-GTCF,,,BE,http://www.juridat.be/tribunal_commerce/bruxelles/index.htm,
BW-CIPA,,,BW,http://www.mtinamesearch.gov.bw/search,
CA-CRA_ACR,,,CA,http://www.cra-arc.gc.ca/,
CH-FDJP,,,CH,http://www.zefix.ch/,
CN-SAIC,,,CN,http://gsxt.saic.gov.cn/,
CO-CCB,,,CO,http://www.ccb.org.co/,
CZ-ICO,,,CZ,http://wwwinfo.mfcr.cz/ares/ares_es.html.en,
DK-CVR,,,DK,https://datacvr.virk.dk/data/,
EE-RIK,,,EE,http://www.rik.ee/en/e-business-register,
EG-MOSS,,,EG,http://www.moss.gov.eg/misa/ar-eg/,
ES-DIR3,,,ES,http://administracionelectronica.gob.es/ctt/dir3/descargas,
ET-MFA,,,ET,http://www.mfa.gov.et/,
ET-MOT,,,ET,http://www.mot.gov.et,
FI-PRO,,,FI,http://www.prh.fi/en/index.html,
FR-INSEE,,,FR,http://www.insee.fr/fr/service/default.asp?page=entreprises/entreprise.htm,
FR-RCS,,,FR,http://www.infogreffe.fr,
GB-CHC,,,GB,http://www.charity-commission.gov.uk/,
GB-COH,,,GB,http://www.companieshouse.gov.uk/,
GB-EDU,,,GB,http://www.education.gov.uk/edubase/home.xhtml,
GB-GOR,,,GB,http://government-organisation.alpha.openregister.org,
GB-GOV,,,GB,http://data.gov.uk/dataset/iati-organisation-identifier-for-uk-government-bodies,
GB-GOVUK,,,GB,https://www.gov.uk/government/organisations,
GB-NIC,,,GB,http://www.charitycommissionni.org.uk/,
GB-REV,,,GB,http://www.hmrc.gov.uk/,
GB-SC,,,GB,http://www.oscr.org.uk/,
GB-UKPRN,,,GB,https://www.ukrlp.co.uk/,
GG-RCE,,,GG,http://www.guernseyregistry.com/charities,
GH-DSW,,,GH,,
HK-CR,,,HK,http://www.cr.gov.hk/en/home,
ID-KDN,,,ID,http://www.kemendagri.go.id/media/filemanager/2011/02/22/d/a/daf.ormas___lsm_2010.pdf,
ID-KHH,,,ID,http://www.kemenkumham.go.id/,
ID-KLN,,,ID,http://www.kemlu.go.id/,
ID-PRO,,,ID,http://www.satulayanan.net/layanan/pendaftaran-lsm-atau-ormas/perizinan-lsm-atau-ormas-baru,
IE-CHY,,,IE,,
IE-CRO,,,IE,http://www.cro.ie/,
IM-CR,,,IM,http://www.gov.im/ded/companies/companiesregistry.xml?menuid=21615,
IM-GR,,,IM,http://www.gov.im/registries/courts/charities/,
IN-MCA,,,IN,http://www.mca.gov.in/,
IN-MHA,,,IN,https://fcraonline.nic.in/home/index.aspx,
JE-CR,,,JE,http://www.jerseyfsc.org/registry/,
JE-OAC,,,JE,http://www.jerseyoverseasaid.org.je/,
KE-NCB,,,KE,http://www.ngobureau.or.ke/,
KE-RCO,,,KE,http://www.attorney-general.go.ke/,
KE-RSO,,,KE,http://www.attorney-general.go.ke/,
LB-MOI,,,LB,http://www.interior.gov.lb/,
LS-LCN,,,LS,http://www.lcn.org.ls/,
LV-RE,,,LV,http://www.ur.gov.lv/,
ML-CCIM,,,ML,http://www.cci.ml/,
ML-NIF,,,ML,http://demarchesadministratives.gouv.ml/demarches/afficher/Numero-d-Identification-Fiscale-NIF,
MM-MHA,,,MM,No url for the ministry (as at 2/10/2013),
MW-CNM,,,MW,http://www.congoma.mw/index.html,
MW-MRA,,,MW,http://www.mra.mw/,
MW-NBM,,,MW,http://ngoboardmalawi.mw/directory.php,
MW-RG,,,MW,,
MZ-MOJ,,,MZ,,
NG-CAC,,,NG,http://new.cac.gov.ng/home/,
NL-KVK,,,NL,http://www.kvk.nl/,
NO-BRC,,,NO,http://www.brreg.no/,
NP-CRO,,,NP,http://www.cro.gov.np/,
NP-SWC,,,NP,http://www.swc.org.np/,
PH-SEC,,,PH,http://www.sec.gov.ph/online-services/search-registered-companies/,
PK-PCP,,,PK,https://drive.google.com/file/d/0B67B7u-xqLazZFhHTkUtUVVRWXc/view,
PK-VSWA,,,PK,No Website available,
PL-REGON,,,PL,"http://www.stat.gov.pl/regon/, http://bip.stat.gov.pl/en/regon/",
PL-NIP,,,PL,"https://ems.ms.gov.pl/krs/wyszukiwaniepodmiotu, https://wyszukiwarkaregon.stat.gov.pl/appBIR/index.aspx",
PL-KRS,,,PL,https://ems.ms.gov.pl/krs/wyszukiwaniepodmiotu,
PS-MOI,,,PS,http://www.moi.pna.ps/NGOs/List,
RS-APR,,,RS,http://www.apr.gov.rs/eng/Home.aspx,
SE-BLV,,,SE,http://www.bolagsverket.se/,
SE-KK,,,SE,http://www.kammarkollegiet.se/en,
SG-ACRA,,,SG,http://www.acra.gov.sg/,
SK-ZRSR,,,SK,http://www.zrsr.sk/default.aspx?LANG=en,
SS-RRC,,,SS,http://www.goss-online.org/,
TZ-BRLA,,,TZ,http://www.brela.go.tz/,
UA-EDR,,,UA,http://irc.gov.ua/ua/Poshuk-v-YeDR.html,
UG-NGB,,,UG,http://www.mia.go.ug/?page_id=62,
UG-RSB,,,UG,http://www.ursb.go.ug/,
US-DOS,,,US,http://www.companieshouse.gov.uk/links/usaLink.shtml,
US-EIN,,,US,"http://www.irs.gov/businesses/small/article/0,,id=98350,00.html",
US-USAGOV,,,US,http://www.usa.gov/directory/federal/index.shtml,
XI-IATI,,,XI,http://iatistandard.org/codelists/IATIOrganisationIdentifier/,
XI-PB,,,XI,http://publicbodies.org/,
XM-DAC,,,XM,http://www.oecd.org/dac/stats/dacandcrscodelists.htm,
XM-OCHA,,,XM,http://www.unocha.org,
ZA-CIP,,,ZA,http://www.cipro.gov.za/,
