code,name,description,language,category,category-name,category-description
AF-CBR,Afghanistan Central Business Registry,Website not yet searchable ,en,AF,AFGHANISTAN,
AF-MOE,Ministry of Economy,,en,AF,AFGHANISTAN,
AR-CENOC,The National Centre of Community Organisations (CENOC),The National Centre of Community Organisations oversees and manages the accreditation and categorization of Civil Society Organizations in Argentian.,en,AF,AFGHANISTAN,
AU-ABN,Australian Business Register,,en,AU,AUSTRALIA,
AU-ACNC,Australian Charities and Not-for-profits Commission,,en,AU,AUSTRALIA,
BD-NAB,Bangladesh NGO Affairs Bureau,,en,BD,BANGLADESH,
BE-BCE_KBO,Banque Carrefour des entreprises / Kruispuntbank van ondernemingen,,en,BE,BELGIUM,
BE-GTCF,Au Greffe du Tribunal de Commerce Francophone de Bruxelles,The Registry of the Francophone Brussels Commercial Court,en,BE,BELGIUM,
BW-CIPA,The Companies and Intellectual Property Authority (CIPA),The Companies and Intellectual Property Authority (CIPA) of the Ministry of Trade and Industry in Botswana is mandated to register businesses and protect intellectual property rights through the administration of four pieces of legislation.,en,BW,BOTSWANA,
CA-CRA_ACR,Canadian Revenue Agency / Agence du revenu du Canada,CRA_ACR is legal requirement for bilingual use,en,CA,CANADA,
CH-FDJP,"Commercial Registry, Federal Office of Justice, Switzerland",The Swiss Commercial Register is administered by the cantons under the supervision of the Swiss Confederation. All the commercial register entries made by the cantonal register offices are published in the Swiss Official Gazette of Commerce (SOGC) after having been checked and approved by the Federal Commercial Registry Office.,en,CH,SWITZERLAND,
CN-SAIC,State Administration for Industry and Commerce (SAIC),The database is only available in Chinese language,en,CN,CHINA,
CO-CCB,Bogota Chamber of Commerce,"The Bogota Chamber of Commerce is a private, non-for-profit organization whose goal is to foster a sustainable Bogota-Region in the long term, by promoting its residents' prosperity, through services which enhance and strengthen the enterprise capabilities present in the region, and which improve the business environment with an impact over public policies.",en,CO,COLOMBIA,
CZ-ICO,Access to Registers of Economic Subjects / Entities (ARES),"Public registers comprising: the Commercial Register, the Federal Register, the Register of Foundations, the Register’s Institute, and the Register of Public Service Companies. Information on companies is searchable in English and is free-of-charge.",en,CZ,CZECH REPUBLIC (THE),
DK-CVR,Danish Central Business Register,The Central Business Register at Virk is available with English headings and categories. It can be used to search for information on all Danish businesses.,en,DK,DENMARK,
EE-RIK,Centre of Registers and Information Systems (RIK),You can view the data related to you free-of-charge by logging in with your ID-card.,en,EE,ESTONIA,
EG-MOSS,Ministry of Social Solidarity and Justice,The Ministry of Social Solidarity and Justice is the main registration body for associations and foundations in Egypt.,en,EG,EGYPT,
ES-DIR3,Common Directory of Organizational Units and Offices - DIR3,EXCEL Tables: http://administracionelectronica.gob.es/ctt/resources/Soluciones/238/Area%20descargas/Listado%20Oficinas%20AGE.xlsx?idIniciativa=238&idElemento=2745,en,ES,SPAIN,
ET-MFA,Ministry of Foreign Affairs,Charities are registered but no openly searchable database yet available. ,en,ET,ETHIOPIA,
ET-MOT,Ministry of Trade (MOT),The Ministry of Trade is the official ministry to register a business in Ethiopia.,en,ET,ETHIOPIA,
FI-PRO,Finnish Patent and Registration office,,en,FI,FINLAND,
FR-INSEE,The National Institute of Statistics and Economic Studies / Institute National de la Statistique et des etudes economiques,The National Institute of Statistics and Economic Studies provide a registration service for companies and associations with details being held on the SIRENE database,en,FR,FRANCE,
FR-RCS,Registre de Commerce et des Societies /Trade and Companies Register - Commercial Court Registry,,en,FR,FRANCE,
GB-CHC,Charity Commission,,en,GB,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),
GB-COH,Companies House,,en,GB,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),
GB-EDU,"Edubase, by the Department of Education","Edubase is provided by the Department of Education and provides a URN for each school, university and other educational establishment in England and Wales",en,GB,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),
GB-GOR,UK Government Organisation Register,The Government Organisation Register is an authoritative source of government organisations who have a presence on GOV.UK. This register includes ministerial departments and executive agencies but does not include classifications (e.g. arms length bodies) or any form of organisational hierarchy.,en,GB,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),
GB-GOV,UK Government Departments Reference Numbers,Codes for use by IATI for UK Government Departments.,en,GB,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),
GB-GOVUK,"UK Government Departments, Agencies & Public Bodies","Use the final segment of the url (below /organisations) as the ""registration number"", converting all ""-"" to ""_"". Keep ""registration number"" portion all lowercase. ",en,GB,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),
GB-NIC,The Charity Commission for Northern Ireland,,en,GB,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),
GB-REV,HM Revenue and Customs,,en,GB,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),
GB-SC,Scottish Charity Register,,en,GB,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),
GB-UKPRN,UK Register of Learning Providers,,en,GB,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),
GG-RCE,The Guernsey Registry at the Department of Commerce and Employment,,en,GG,GUERNSEY,
GH-DSW,Department of Social Welfare,,en,GH,GHANA,
HK-CR,Hong Kong Companies Registry,"Hong Kong Companies Registry registers local and non-Hong Kong companies and statutory returns, de-registers defunct solvent companies and provides the public with services and facilities for inspecting and obtaining company information kept by the Registry.",en,HK,HONG KONG,
ID-KDN,Ministry Home affairs/ Kementerian Dalam Negeri,NGO registration can also be done through Ministry Home affairs/ Kementerian Dalam Negeri,en,ID,INDONESIA,
ID-KHH,Ministry of Justice & Human Rights/ Kementerian Hukum Dan Hak,Company registration is done through Ministry of Justice & Human Rights/ Kementerian Hukum Dan Hak,en,ID,INDONESIA,
ID-KLN,Ministry of Foreign affairs/ Kementerian Luar Negeri,International NGO registration is done through Ministry of Foreign affairs/ Kementerian Luar Negeri,en,ID,INDONESIA,
ID-PRO,NGOs registered at Provinicial Level,"Registration for NGO in Indonesia can be done at the provincial level. Because there is regional autonomy, each provincial has different requirements. Website is just one example",en,ID,INDONESIA,
IE-CHY,Irish Register of Charities,,en,IE,IRELAND,
IE-CRO,Irish CompaniesRegistration Office,,en,IE,IRELAND,
IM-CR,Isle of Man Companies Registry,,en,IM,ISLE OF MAN,
IM-GR,Isle of Man Index of Registered Charities,,en,IM,ISLE OF MAN,
IN-MCA,"Government of India, Minstry of Corporate Affairs","MCA regulates corporate affairs in India through the Companies Act, 1956, 2013 and other allied Acts, Bills and Rules.",en,IN,INDIA,
IN-MHA,"Ministry of Home Affairs, Government of India",Government of India Ministry of Home Affairs Foreigners Division provides registration under the Foreign Contribution (Regulation) Act (FCRA).,en,IN,INDIA,
JE-CR,Jersey Companies Registry,,en,JE,JERSEY,
JE-OAC,Jersey Overseas Aid Commission,,en,JE,JERSEY,
KE-NCB,NGO's Coordination Board,,en,KE,KENYA,
KE-RCO,Registar of Companies,,en,KE,KENYA,
KE-RSO,Registrar of Societies,,en,KE,KENYA,
LB-MOI,Ministry of Interior,The Ministry of Interior is the main registration body in Lebanon. All NGOs are required to register with the Ministry of Interior.,en,LB,LEBANON,
LS-LCN,Lesotho Council of Non Governmental Organisations,,en,LS,LESOTHO,
LV-RE,Register of Enterprises of the Republic of Latvia,Free of charge information includes type of legal entity; registered office; new or current name or trade name and previously registered or historical name or trade name; registration number; Single Euro Payment Area beneficiary identification code (if allocated); registration date; date of deletion of the legal entity from the register (or the date of reorganisation if the reason for the deletion is a reorganisation); deadline for registration of religious organisations that are subject to re-registration.,en,LV,LATVIA,
ML-CCIM,Chambre de Commerce et d'Industrie du Mali (CCIM),"The Chamber of Commerce and Industry of Mali (CCIM) is responsible for the organization and professional representation of organisations and legal persons working in the various branches of commercial, industrial and service activities in Mali.",en,ML,MALI,
ML-NIF,Numero d’Identification Fiscale ,Malian organisations use Numero-d-Identification-Fiscale (NIF) to identify taxpayers and facilitate the administration of the Malian tax affairs.,en,ML,MALI,
MM-MHA,Ministry of Home Affairs - Central Committee for the Registration and Supervision of Organisations,"The MHA assigns a registration number to each NGO - this number is time limited, for example 4 years, after which the registration is reviewed.",en,MM,MYANMAR,
MW-CNM,The Council for Non Governmental Organisations in Malawi,,en,MW,MALAWI,
MW-MRA,Malawi Revenue Authority,,en,MW,MALAWI,
MW-NBM,NGO Board of Malawi,"There is a pdf file with a list of registered NGOs, but these do not appear to be registration numbers. New database is planned",en,MW,MALAWI,
MW-RG,"Registrar General, Department of Justice",,en,MW,MALAWI,
MZ-MOJ,Mozambique Ministry of Justice,,en,MZ,MOZAMBIQUE,
NG-CAC,Nigerian Corporate Affairs Commission,,en,NG,NIGERIA,
NL-KVK,Kamer van Koophandel,,en,NL,NETHERLANDS (THE),
NO-BRC,Brønnøysundregistrene,,en,NO,NORWAY,
NP-CRO,Company Registrar Office,,en,NP,NEPAL,
NP-SWC,NGO registration,,en,NP,NEPAL,
PH-SEC,Securities and Exchange Commission Philippines,"The Securities and Exchange Commission in the Philippines provides licenses so that corporations, partnerships or associations can transact business in the Philippines.",en,PH,PHILIPPINES (THE),
PK-PCP,Pakistan Centre for Philanthropy,"The PCP Certification Programme seeks to bring transparency, accountability and good governance in the nonprofit sector in Pakistan. The first initiative of its kind in South Asia; it involves the evaluation of a nonprofit organisation on standardised parameters of internal governance, financial management and programme delivery.",en,PK,PAKISTAN,
PK-VSWA,Pakistan Voluntary Social Welfare Agency,All NGOs are required to register with their local Voluntary Social Welfare department,en,PK,PAKISTAN,
PL-REGON,National Official Business Register,"Every business entry in Poland is assigned an ID in 3 different registries: business, court, and tax. This is the business register.",en,PL,POLAND,
PL-NIP,Tax Identification Number,"Every business entry in Poland is assigned an ID in 3 different registries: business, court, and tax. This is the tax register.",en,PL,POLAND,
PL-KRS,The National Court Register,"Every business entry in Poland is assigned an ID in 3 different registries: business, court, and tax. This is the court register.",en,PL,POLAND,
PS-MOI,Ministry of Interior (MOI),It’s the official body to register Non-governmental organization in Palestine.,en,PS,"PALESTINIAN TERRITORY, OCCUPIED",
RS-APR,Serbian Business Registrations Agency (APR),"The SBRA runs business registers as single, centralized, public electronic databases.",en,RS,SERBIA,
SE-BLV,Bolagsverket / Swedish Companies Registration Office,,en,SE,SWEDEN,
SE-KK,"Legal, Financial and Administrative Services Agency (Kammarkollegiet)","A Swedish administrative authority under the Ministry of Finance, which is responsible for the registration of religious communities and organisational units of religious communities.",en,SE,SWEDEN,
SG-ACRA,Accounting and Corporate Regulatory Authority (ACRA),"The Accounting and Corporate Regulatory Authority (ACRA) is the national regulator of business entities, public accountants and corporate service providers in Singapore",en,SG,SINGAPORE,
SK-ZRSR,Slovakia Ministry Of Interior Trade Register,Most organisations (including NGOs) have to be registered with the Ministry of Interior for the Trade Register Of The Slovak Republic (Živnostensky Register Slovenskej Republiky) and are allocated a unique registration number,en,SK,SLOVAKIA,
SS-RRC,South Sudan Relief and Rehabilitation Commission,The South Sudan Relief and Rehabilitation Commission (SSRRC) is an agency of the Government of South Sudan. It is the operational arm of the Ministry of Humanitarian Affairs and Disaster Management. The NGO Act 2016 added additional powers to the agency to register any NGO interested in operating in South Sudan.,en,SS,SOUTH SUDAN,
TZ-BRLA,Tanzania Business Registrations and Licensing Agency,,en,TZ,"TANZANIA, UNITED REPUBLIC OF",
UA-EDR,"United State Register, Ukraine",,en,UA,UKRAINE,
UG-NGB,"NGO Board, Ministry of Internal Affairs",,en,UG,UGANDA,
UG-RSB,Registration Services Bureau,,en,UG,UGANDA,
US-DOS,Corporation registration is the responsibility of each state (see link),,en,US,UNITED STATES OF AMERICA (THE),
US-EIN,Internal Revenue Service / Employer Identification Number,,en,US,UNITED STATES OF AMERICA (THE),
US-USAGOV,Index of U.S. Government Departments and Agencies,"Use the final segment of the url (below /federal and excluding the extension) as the ""registration number"", converting all ""-"" to ""_"". Keep ""registration number"" portion all lowercase. ",en,US,UNITED STATES OF AMERICA (THE),
XI-IATI,International Aid Transparency Initiative Organisation Identifier,XI-IATI is a list of organisation identifiers that is maintained by the IATI Secretariat. Any publisher may apply to the IATI Technical Team for an identifier to be generated.,en,XI,,
XI-PB,Public Bodies,Public Bodies aims to provide a unique ID for every part of every government.,en,XI,,
XM-DAC,OECD Development Assistance Committee,"See Donor, Agency, and Delivery Channel codes",en,XM,,
XM-OCHA,United Nations Office for the Coordination of Humanitarian Affairs,OCHA is the part of the United Nations Secretariat responsible for bringing together humanitarian actors to ensure a coherent response to emergencies.,en,XM,,
ZA-CIP,Companies and Intellectual Property Commission (CIPC),,en,ZA,SOUTH AFRICA,
ZA-NPO,Association for Non-Profit Organisations,,en,ZA,SOUTH AFRICA,
ZA-PBO,SA Revenue Service Tax Exemption Unit / Public Benefit Organisations,,en,ZA,SOUTH AFRICA,
ZM-NRB,Non Governmental Organisation Registration Board,,en,ZM,ZAMBIA,
ZM-PCR,Patents and Companies Registration Agency,,en,ZM,ZAMBIA,
ZW-PVO,Private Voluntary Organisations Council,,en,ZW,ZIMBABWE,
ZW-ROD,Registrar of Deeds,,en,ZW,ZIMBABWE,
