code,name,description,category,url
1,OECD DAC CRS Purpose Codes (5 digit),The sector reported corresponds to an OECD DAC CRS 5-digit purpose code,,http://www.oecd.org/dac/stats/dacandcrscodelists.htm
2,OECD DAC CRS Purpose Codes (3 digit),The sector reported corresponds to an OECD DAC CRS 3-digit purpose code,,http://www.oecd.org/dac/stats/dacandcrscodelists.htm
3,Classification of the Functions of Government (UN),The sector reported corresponds to the UN Classification of the Functions of Government (CoFoG),,http://unstats.un.org/unsd/cr/registry/regcst.asp?Cl=4
4,Statistical classification of economic activities in the European Community,The sector reported corresponds to the statistical classifications of economic activities in the European Community,,http://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=LST_NOM_DTL&StrNom=NACE_REV2&StrLanguageCode=EN
5,National Taxonomy for Exempt Entities (USA),The sector reported corresponds to the National Taxonomy for Exempt Entities (NTEE) - USA,,http://nccs.urban.org/classification/NTEE.cfm
6,AidData,The sector reported corresponds to AidData classifications,,
7,SDG Goal,A value from the top-level list of UN sustainable development goals (SDGs) (e.g. ‘1’),,https://sustainabledevelopment.un.org/?menu=1300
8,SDG Target,A value from the second-level list of UN sustainable development goals (SDGs) (e.g. ‘1.1’),,http://unstats.un.org/sdgs/indicators/indicators-list/
9,SDG Indicator,A value from the second-level list of UN sustainable development (SDG) indicators,,http://unstats.un.org/sdgs/indicators/indicators-list/
10,Humanitarian Global Clusters (Inter-Agency Standing Committee),The sector reported corresponds to an Inter-Agency Standard Committee Humanitarian Global Cluster code,,https://data.humdata.org/dataset/standard-cluster-names-and-codes/resource/24b50d16-897b-46f9-848b-7fce08ac599b
99,Reporting Organisation,The sector reported corresponds to a sector vocabulary maintained by the reporting organisation for this activity,,
98,Reporting Organisation 2,The sector reported corresponds to a sector vocabulary maintained by the reporting organisation for this activity (if they are referencing more than one),,
