code,name,description,category,url
10,Government,,,
11,Local Government,Any local (sub national) government organisation in either donor or recipient country.,,
15,Other Public Sector,,,
21,International NGO,,,
22,National NGO,,,
23,Regional NGO,,,
24,Partner Country based NGO,Partner country based NGO- NGOs not based in an aid recipient country and carrying out operations in one or more aid recipient countries.,,
30,Public Private Partnership,,,
40,Multilateral,,,
60,Foundation,,,
70,Private Sector,,,
71,Private Sector in Provider Country,Is in provider / donor country.,,
72,Private Sector in Aid Recipient Country,Is in aid recipient country.,,
73,Private Sector in Third Country,Is not in either a donor or aid recipient country.,,
80,"Academic, Training and Research",,,
90,Other,,,
