code,name,description,category,url
1,Codes-objet à cinq chiffres du Système de notification des pays créanciers du Comité d'aide au développement de l'OCDE,,,http://www.oecd.org/dac/stats/dacandcrscodelists.htm
2,Codes-objet à trois chiffres du Système de notification des pays créanciers du Comité d’aide au développement de l'OCDE,,,http://www.oecd.org/dac/stats/dacandcrscodelists.htm
3,Classification des fonctions des administrations publiques (ONU),,,http://unstats.un.org/unsd/cr/registry/regcst.asp?Cl=4
4,Nomenclature statistique des activités économiques dans la Communauté européenne,,,http://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=LST_NOM_DTL&StrNom=NACE_REV2&StrLanguageCode=EN
5,Taxonomie nationale des entités exonérées (É.-U.),,,http://nccs.urban.org/classification/NTEE.cfm
6,AidData,,,
7,,,,https://sustainabledevelopment.un.org/?menu=1300
8,,,,http://unstats.un.org/sdgs/indicators/indicators-list/
9,,,,http://unstats.un.org/sdgs/indicators/indicators-list/
10,,,,https://data.humdata.org/dataset/standard-cluster-names-and-codes/resource/24b50d16-897b-46f9-848b-7fce08ac599b
99,Organisation déclarante,,,
98,Organisation déclarante 2,"Si plus d’un secteur est mentionné, le secteur indiqué correspond au vocabulaire utilisé par l’organisation déclarante en référence à cette activité",,
